Name of the college,District
Late Thakur Maharaj Singh Govt. College,
Late Vashisth Narayan Shukla Mahavidyalaya,Allahabad
Late Virendra Pratap Singh Smarak Janta Degree College,
Late Wali Mohammad Islamiya Degree College,
Late. Abasaheb Kakade Arts College,
Late. Isdutt Smarak Mahavidyalaya,
Late. Rajeshwari Singh Gyansthali Mahavidyalaya,
Late. Vasantrao Kolhatkar Arts College,
Late. Venkatrao Deshmukh Mahavidyalaya,
Latha Mathavan Arts & Science College,Madurai
Latha Mathavan Engineering College,  Latha Mathavan Nagar,
Laureate Institute of Education & Training,Shimla
Laureate Institute of Pharmacy,Kangra
Lav – Kush Mahavidyalaya,Unnao
Lav-Kush Vidhi Mahavidyalaya,Unnao
Law College,
Law College,Satna
Lawngtlai College,
Laxman Prasad Baidh Govt. Girls College,
Laxman Singh Mehar Govt. Post Graduate College,
Laxmeshwar Jha JantaSanskrit Mahavidyalaya,
Laxmi Chand Katori Devi Degree College,
Laxmi Devi Arya Kanya Girls Degree College,
Laxmi Devi Mahavidyalaya,Jalaun
Laxmi Devi Rajendra Singh Yadav Mahavidyalaya,
Laxmi Narayan Degree College,
Laxmi Narayan Mahavidyalaya,
Laxmi Narayan Shukla Mahavidyalaya,Sultanpur
Laxmi Narayana Mahavidyalaya,
Laxmi Venkatesh Desai College,
Laxmi Yadunandan Degree College,
Laxmibai Bhaurao Patil Mahila Mahavidyalaya,
Laxmikanata College,
Laxminarayan College,
Laxminarayan Institute of Technology,
Laxminarayana Arts & Science College for Women,Dharmapuri
Laxmipur Degree College,Koraput
Laxmishwari Priya Raj Laxmi Sanskrit College,
Lea's Hurakadli Ajja Law College,
LEAD College of Management,Palakkad
Ledo College,Tinsukia
Leela Education Society’s, G.V. Acharya, Institute of Engineering & Technology,,Raigarh
Leeladevi Parasmal Sancheti Kanya Mahavidyalaya,Pali
Leenabai Thackersey College of Nursing,
Leftinant Aniruddha Shukla Mahavidyalaya,Lakhimpur
Lekshmipuram College of Arts & Science,Kanyakumari
Lendi Institute of Engineering & Technology,Vizianagaram
Lenora Institute of Dental Sciences,East Godavari
Liberal College,
Lieutenant Aniruddha Shukla Mahavidyalaya,Bara Banki
Lilawati Devi Mahavidyalaya,
Lilong Haoreibi College,
Lingaraj College,
Lingaraj Law College,
Lingaya’s Lalita Devi Institute of Management & Sciences,
Lingayas Institute of Management and Technology,,
Lions Juhu Nandalal Jalan Mahila Mahavidyalaya,
Little Flower College,
Little Flower Degree College,Hyderabad
Little Flower Institute of Social Sciences and Health (LISSAH),Kozhikode
Little Step Science & Technology College,
Lloyd Institute of Management & Technology,
Lloyd Law College,Gautam Buddha Nagar
Lodi Kisan Mahavidyalaya,Azamgarh
Lodi Singh Dwarika Singh Kaushik Mahavidyalaya,Ghazipur
Loganatha Narayanasamy Government College,
Lohia Charan Singh College,
Lohia College,
Loisingha College,
Lok Bharati Lok Seva Mahavidyalaya,
Lok Mahavidyalaya,
Lok Rashtriya College,
Lokanayak Omeo Kumar Das College,Sonitpur
Lokapriya Gopinath Bordoloi Girls’ College,Sonitpur
Lokbandhu Rajnarain Law College,Varanasi
Lokmangal Biotechnology College,
Lokmani Memorial Degree College,
Lokmani Sharma Swatantrata Sangram Senani Govt. Degree College,
Lokmanya Mahavidyalaya,
Lokmanya Tilak College of Education,
Lokmanya Tilak College of Engineering,,
Lokmanya Tilak Mahavidyalaya,
Lokmanya Tilak Municipal Medical Medical College,
Lokmanya Tilak Science & Commerce College,
Loknath Mahavidyalya,
Loknayak Bapuji Aney Mahila Mahavidyalaya,
Loknete Ma. Hanmantrao Patil Charitable Trust, Vita Adarsh Institute of Technology and Research Centre,Sangli
Lokniketan Mahavidyalaya,
Lonavala Education Trust’s Dr. B.N. Purandare Arts, Smt. S.G. Gupta Commerce and Smt. Shardaben Amrutlal Mithaiwala Science College,Pune
Long Shree College of Education,
Lord Buddha Degree College,,
Lord Jegannath College of Engineering & Technology,Kanyakumari
Lord Krishna Degree College,
Lord Krishna Mahavidyalaya,Kanpur Dehat
Lords Institute of Engineering and Technology,Rangareddy
Loreto College,Kolkata
Lorven Educational Centre,Bangalore
Lotus Institute of Management,Bareilly
Loyala Academy Degree College,
Loyola Academy,Malkangiri
Loyola College of Arts & Science (Co-Ed.),,
Loyola College of Education,
Loyola College of Education,Chennai
Loyola College of Social Sciences,
Loyola College,
Loyola Degree College,Y.S.R.
Loyola Institute of Technology,Chennai
Loyola-ICAM College of Engineering and Technology,Chennai
Lt. Jagannath Patel Mewalal Patel Mahila Mahavidyalaya,Fatehpur
Lucknow Christian Degree College,
Lucknow Public College of Professional Studies,Lucknow
Lucky Institute of Professional Studies,Jodhpur
Ludhiana College of Engineering and Technology,Ludhiana
Luitparia College,Barpeta
Lumding College,Nagaon
Lunglei Govt. College,
Lupia Mahavidyalaya,
Luquman College of Science & Arts,
Lutawan Mahavidyalaya,
Luxmi Charan Hubblal Mahavidyalaya,Jalaun
Lyallpur Khalsa College For Women,
Lyallpur Khalsa College,
M R College of Education,Vizianagaram
M R Govt. Sanskrit College,Vizianagaram
M R K Institute of Technology,Cuddalore
M S N Degree College,East Godavari
M V N J S & R V R COLLEGE,East Godavari
M. B. Khalsa College,
M. H. Shinde Mahavidyalaya,
M. Krishna Law College,
M. Kumarasamy College of Engineering,Karur
M. M. Chaudhari Arts College,
M. Rampur College,
M. V. Muthiah Government Arts College for Women,Dindigul
M.A. Memorial Girls Degree College,Azamgarh
M.A. Rameshwar Lata Sanskrit Mahavidyalaya,
M.A.L.D. Government Arts & Science College,
M.A.M. College of Engineering,Tiruchirappalli
M.A.M. College of Pharmacy,Guntur
M.A.M. School of Engineering,Tiruchirappalli
M.A.S. Degree College,
M.B. Arts and Commerce College,
M.B. College of Commerce & SGMNL Arts College,
M.B. P.G. College,
M.B. Patel Rashrabhasha Arts and Commerce College,
M.B. Patel Science College,
M.B. Residential College,
M.B.C. Government Girls College,Barmer
M.B.G. Government College,
M.B.R.R.V.P.D. Singh College,
M.C. College,Barpeta
M.C. Das College,Cachar
M.C. Sheth Commerce College,
M.C.E Society’s Allana College of Pharmacy,Pune
M.C.S Educational Institute,  Wazidpur, Khair,  Aligarh-202 138,  Uttar Pradesh,Aligarh
M.D. College of Higher Education,Bijnor
M.D. College,
M.D. Science College,
M.D. Shah Commerce & B.D. Patel Arts College,
M.D.B.L. Degree College,
M.D.D. Mahila College,Muzaffarpur
M.D.F. College of Education, Pragathi Composite School Complex,
M.D.R. Patel Degree Mahila College,
M.D.S.D. Girls College,
M.E.A.S. Science College,
M.E.S. Abasaheb Garware College,Pune
M.E.S. Arts & Commerce College,
M.E.S. Asambi College,
M.E.S. College of Arts, Commerce & Science,
M.E.S. College,
M.E.S. Garware College of Commerce,Pune
M.E.S. Kalladi College,
M.E.S. Keveeyam College,
M.E.S. Mampad College,
M.E.S. Ponnani College,
M.E.S. Teacher's College,
M.E.S.'S College of Commerce,
M.E.S.'S Law College,
M.E.T. Teachers College,Kashmir
M.G. Balika Vidyalaya Degree College,
M.G. College of Science, Art & Culture,
M.G. College,
M.G. Degree College,
M.G. Medical College,
M.G.D. Appa Arts & Commerce College for Women,
M.G.M. Medical College,
M.G.R. College,
M.G.S. Janata College,
M.G.V.G. Arts Science & Commerce College,
M.G.V.M.'S Smt. Pushpati Hiraj Arts, Science & Commerce Mahila College,
M.H. Azad National Degree College,
M.H. Degree College,
M.H. Mahila Mahavidyalaya,
M.H.B.M. College,
M.H.D. College,
M.H.E.S College of Science & Technology,Kozhikode
M.H.H. Degree College,Etah
M.I,E,T.Arts & Science College,
M.I.E.T. Engineering College,Tiruchirappalli
M.J. College of Commerce,
M.J. College,
M.J. Shindo Arts, Science & Commerce College,
M.J.D. Government College,Churu
M.J.K. College,Pashchim Champaran
M.J.M. Mahila College,
M.J.S. Govt. Postgraduate College,
M.K. College of Education,Jalandhar
M.K. Rai Deep Adarsh Balika Mahavidyalaya,
M.K.C.G. Medical College,
M.K.M. IIM,
M.K.M. Mahila Mahavidyalaya,
M.K.P. College,
M.K.R. Government Degree College,
M.K.S. College,
M.L. & J.N.K. Girls College,
M.L. Arya College,
M.L. Dahanukar College of Commerce,
M.L. Law College,
M.L.A. Academy of Higher Learning,Bangalore
M.L.B. Arts & Commerce College,
M.L.B. Govt. College,Bikaner
M.L.B. Medical College,
M.L.C. Govt. Girls P.G. College,
M.L.D. Adarsh Sanskrit Mahavidyalaya,
M.L.M.N. College of Education,
M.L.R.S. College of Education,
M.L.S. College,
M.L.S.M. College,
M.M. Arts and Commerce College,
M.M. Arts, Commerce, Home Science & Science College for Women,
M.M. College of Arts & N.M. Institute of Science & H.R.J. College of Commerce (Bhavan's College),
M.M. College,Patna
M.M. Gandhi Arts and Commerce College,
M.M. Ghodasara Mahila Arts and Commerce College,
M.M. Mahila College,
M.M.E.S. Women’s Arts and Science College,Vellore
M.M.H. College,
M.M.M. Post-Graduate college,
M.N.B. Memorial Mahila Mahavidyalaya,Ballia
M.N.C. Balika Mahavidyalaya,Nalbari
M.N.D. Mahila Mahaidyalaya,Ambedkar Nagar
M.N.R. Degree College,
M.O.P. Vaishnav College For Women,
M.P. Arts & M.H. Commerce College for women,
M.P. Garg Degree College,
M.P. Girls Sansthan,Ghazipur
M.P. Moothedath Memorial Sree Narayana Trust College,
M.P. Nachimuthu M. Jaganathan Engineering College,Erode
M.P. Shah Arts and Science College,
M.P. Shah Commerce College,
M.P. Shah Medical College,
M.P. Sinha Science College,Muzaffarpur
M.P.C. (Auto) College,
M.P.M.M. Sree Narayana Trust College,
M.P.T. Govt . Degree College,
M.R. College,
M.R. Government Arts College,
M.R. Mahila College,
M.S. College,
M.S. College,Purbi Motihari
M.S. Degree College,Anantapur
M.S. Engineering College,Bangalore
M.S. Institute,
M.S. Kakdade College,Pune
M.S. Ramaiah College of Arts, Science and Commerce,Bangalore
M.S. Ramaiah Institute of Technology,
M.S.B. Arts & Commerce College,Davanagere
M.S.C.M. College,
M.S.G. Arts, Science and Commerce College,
M.S.J. College,
M.S.K.B. College,Muzaffarpur
M.S.M. Science College,
M.S.P. Arts, Science & K.P.T. Commerce College,
M.S.P. Mandal’s Shri Shivaji College,
M.S.S. Giri College,Pashchim Champaran
M.S.S.K.D. Degree College,
M.U.C. Women's College,
M.V. College,
M.V.A.S. Sri K.G. Nadgir College of Phusical Education,
M.V.J. College of Engineering,
M.V.P. Samaj's Arts, Science & Commerce College,
M.V.P.'S Mahantswamy Arts, Science and Commerce College,
M.V.S. Government Arts & Science College,
M.V.S. Govt. Evening College of Arts,
Ma Gayatri Ram Sukh Pandey Mahavidyalaya,
Ma Gomti Memorial Degree College,
Ma Hansvahini Mahavidyalay,Chandauli
Ma Khandwari Degree College,
Maa Anjani Institute of Education,
Maa Asha Gyandeep Sansthan,Jaunpur
Maa Baboona Balika Degree College,
Maa Bachchi Smarak Mahavidyalaya,Pratapgarh
Maa Bageshwari Devi Mahila Mahavidyalaya,
Maa Bandhui Devraj Mahavidyalaya,
Maa Basulee Mahavidyalaya (+3 Degree),
Maa Bhadra Kali Mahavidyalaya,  Kabrai,,
Maa Bhagwati Mahavidyalaya,,
Maa Bhagwati Mahavidyalaya,Kannauj
Maa Bhagwati Mahila Mahavidyalaya,Chandauli
Maa Bhawani Mahavidyalaya,
Maa Bhawani Mahila Mahavidyalaya,Chandauli
Maa Chanarmi Devi Mahila Mahavidyalaya,Azamgarh
Maa Chandrawati Devi Mahila Mahavidyalaya,Azamgarh
Maa Chandrika Mahila Mahavidyalaya,Mahoba
Maa Dhanawati Mahavidyalaya,
Maa Durga Girls College,Jaunpur
Maa Durga Ji Mahavidyalaya,
Maa Durga Sarvoday Mahavidyalaya,Sultanpur
Maa Fula Devi Kanya Mahavidyalaya,
Maa Fuliya Devi Mahila Mahavidyalaya,Ghazipur
Maa Gauri Mahila Mahavidyalaya,Azamgarh
Maa Gayatri Arya Kanya Mahavidyalaya,Etah
Maa Gayatri Ganga Prasad Mishra Mahila Degree College,Basti
Maa Gayatri Mahavidyalaya,
Maa Gayatri Mahila Mahavidyalaya,
Maa Gayatri Mangala Devi Pandey Smarak Mahavidyalaya,Gonda
Maa Gayatri Ramprasad Pandey Smarak Mahavidyalaya,Gonda
Maa Gomati Balika Mahavidyalaya,,Ghazipur
Maa Gujarati Mahavidyalaya,
Maa Haridasee Smarak Mahila Mahavidyalaya,Azamgarh
Maa Janki Devi Mahavidhyalaya,
Maa Jhadeswari Degree College,Sambalpur
Maa Kabootara Devi Satyabhama Mahila Mahavidyalaya,,
Maa Kailashi Anari Leela Mahavidyalaya,Azamgarh
Maa Kailashi Savitri Devi Mahila Mahvidyalaya,Pratapgarh
Maa Kalawati Mahavidyalaya,Pratapgarh
Maa Kamla Mahavidyalaya,
Maa Kasturi Devi Mahavidyalaya,Ballia
Maa Khandawari P.G. Mahavidyalaya,
Maa Khandwari Mahavidyalaya,
Maa Kunti Devi Malkhan Singh Mahavidyalaya,Aligarh
Maa Malti Devi Mahila Degree College,
Maa Mansha Devi Mahavidyalaya,
Maa Markama +3 College,Rayagada
Maa Mewati Tara Devi Institute of Girls Education,
Maa Murati Balika Mahavidyalaya,Azamgarh
Maa Phool Patti Devi Mahavidyalaya,
Maa Prabhavati Balika Mahavidyalaya,Azamgarh
Maa Prema Mahila Mahavidyalaya,Ghazipur
Maa R.K. Devi Mahavidyalaya,
Maa Saraswati Mahavidyalaya,
Maa Saraswati Mahila Mahavidyalaya,
Maa Saraswati Sita Degree College,Allahabad
Maa Saryu Devi Mahavidyalaya,Sultanpur
Maa Shakuntala Mahila Mahavidyalaya,Mau
Maa Shanti Devi Mahavidyalaya,
Maa Shanti Devi Mahavidyalaya,Unnao
Maa Sharda Mahavidyalaya,
Maa Sharda Mahavidyalaya,Azamgarh
Maa Sharda Mahavidyalaya,Jhansi
Maa Sharda Mahavidyalaya,Sultanpur
Maa Sharda Mahila Mahavidyalaya,Ghazipur
Maa Sharda Mahila Mahavidyalaya,Unnao
Maa Sheetla Devi Trijugi Narayan Mahila Mahavidyalaya,
Maa Shiv Devi Mahavidyalaya,
Maa Sringari Smarak Mahila Mahavidyalaya,Azamgarh
Maa Sudami Devi Mahila Mahavidyalaya,Azamgarh
Maa Sukali Devi Degree College,
Maa Sumera Devi Yadav Balika Mahavidhyalaya,
Maa Swaroopa Devi Mahila Mahavidyalaya,Ghazipur
Maa Tilesara Devi Mahavidyalaya,Ambedkar Nagar
Maa Vaishnavi Degree College,Allahabad
Maa Vaishno Devi Law College,Lucknow
Maa Vaishno Devi Mahila Mahavidyalaya,Bareilly
Maa Vaishno Devi Nakchhed Tiwari Girls Institute of Education and Management,Faizabad
Maa Vaishno Devi Shikshan Prashikshan Mahavidyalaya,
Maa Vaishnoo Devi Mahila Mahavidyalaya,
Maa Vindhyavasini Institute of Higher Education Management and Technology,Mirzapur
Maa Yashoda Naubat Mahavidyalaya,Ghazipur
Maan Janki Institute of Management & Technology,
Machkhowa Degree College,Dhemaji
Madan Ahiyalia Mahila College,
Madan Mohan Malvidya Post - Graduate College,
Madan Mohan Malviya Engineering College,
Madan Mohan Malviya Government Ayurvedic College,
Madan Mohan Smarak Mahavidyalya,
Madanapalle Institute of Technology & Science,Chittoor
Madeenathul Uloom Arabic College,
Madha Engineering College,
Madhab Dev College,Lakhimpur
Madhav College,
Madhav Institute of Technology & Science,
Madhav Mahavidyalaya,
Madhav Sarvodaya Mahavidyalaya,Faizabad
Madhav Vidhi Mahavidyalaya,Gwalior
Madhava Pai Memorial College,
Madhavrao Patil Arts, Commerce and Science College,
Madhepur Teacher’s Training College,Madhubani
Madhepura College,
Madhu Malancha Govt. Degree College,
Madhu Tandon Mahila Mahavidyalaya,
Madhukarrao Pawar Arts College,
Madhupur College,
Madhuri Singh Mahavidyalaya,Hardoi
Madhusthali Institute of Teacher Training,
Madhusudan Das Degree College,Gorakhpur
Madhya Kamrup College,Barpeta
Madiyahu Degree College,
Madneshwarnath Sanskrit Mahavidyalaya,
Madras Christian College,Chennai
Madras Dental College,
Madras Medical College,
Madras School of Social Work,
Madura College,
Madurai Diraviyam Thayumanavar Hindu College,
Madurai Gandhi N.M.R. Subbaraman College for Women,Madurai
Madurai Institute of Social Sciences,
Madurai Kamaraj University College,
Madurai Law College,
Madurai Medical College,
Madurai Sivakasi Nadars Pioneer Meenakshi Women’s College,sivagana
Mafatlal Gagalbhai Science Institute,
Magadh Mahavidyalaya,
Magadh Mahila College,Patna
Magarpatta City Educational Foundation Magarpatta College of Hospitality Studies,Pune
Magrahat College,
Maha Baleshwari Dayal Governement Degree College,
Maha Bharathi Engineering College,Viluppuram
Mahabodhi Mahavidyalaya,
Mahabodhi Teachers Training College,
Mahacharan Smarak Mahavidyalaya,Jhansi
Mahadeo Singh College,
Mahadev Institute of Technology,
Mahadev Mahavidyalaya,
Mahadev Ramsoch Krishak Mahavidyalaya,Mau
Mahadevanand Mahavidyalaya,
Mahadevappa Rampure Medical Science,
Mahakavi Tulsidas Mahavidyalaya,
Mahakoshal College of Science and Arts,  Tendukheda,Damoh
Mahalakshmi College for Girls,
Mahalwar Academy of Higher Education,Aligarh
Mahamandleshwar Shri Bal Krishna Yati Mahavidyalaya,
Mahamandleshwar Shri Krishnanandji College of Commerce,
Mahamandleshwar Shri Krishnanandji College of Law,
Mahamati Pranath Degree College,
Mahamaya Government Degree College,Allahabad
Mahamaya Government Degree College,Lucknow
Mahamaya Mahavidyalya,  Bargahan,
Mahamaya Rajkeeya Mahavidyalaya,Kaushambi
Mahamaya Rajkiya Mahavidalaya,
Mahamaya Rajkiya Mahavidyalaya,
Mahamayee Mahila Mahavidyalaya,Ganjam
Mahanga Puspagiri Mahavidyalaya,
Mahanga Women’s College,
Mahant Dattaram Bharti Arts and Commerce College,
Mahant Laxminarayan Das College,
Mahant Pawahari Shri Balkrishna Yati Kanya Mahavidyalaya,
Mahanth Keshav Sanskrit Mahavidyalaya,Patna
Mahanth Maniraj Das Upendra Girls Educational Institute,Ghazipur
Mahanth Ram Jiwan Das College,Begusarai
Mahanth Triveni Parbat Sanskrit Mahavidyalaya,
Mahapran Nirala Mahavidyalaya,
Mahapurus Achyutananda Mahavidyalaya,
Maharahi Kishori Memorial  Kanya Mahavidyalaya,
Maharaj Vijayaram Gajapathi Raj College of Engineering,Vizianagaram
Maharaja Agarsen Mahavidyalaya,
Maharaja Agrasain Kanya Mahavidyalaya,Muzaffarnagar
Maharaja Agrasen College for Women,
Maharaja Agrasen College,
Maharaja Agrasen Institute of Management Studies,
Maharaja Agrasen Mahavidyalaya,
Maharaja Arts and Science College,Coimbatore
Maharaja Balwant Singh Degree College,
Maharaja Bhoj Shaskiya Snatkottar Swashasi Mahavidhyalaya,
Maharaja Bijli Pasi Government P.G. College,
Maharaja Bir Bikram College,
Maharaja Bodhchandra College,
Maharaja College for Women,Erode
Maharaja College,
Maharaja Harishchandra College of Higher Education,Hardoi
Maharaja Institute of Technology,
Maharaja Laxman Sen Memorial College,
Maharaja Madakari Nayaka First Grade College for Arts and Commerce,
Maharaja Mahesh Thakur Mithila College,
Maharaja Manindra Chandra College,
Maharaja Mansingh Mahavidyalaya,
Maharaja Nandakumar Mahavidyalaya,
Maharaja Nandakumar Mahavidyalaya,Purba Medinipur
Maharaja Neempal Singh Government College,Bhiwani
Maharaja Prathvi Raj Chauhan Mahavidyalaya,
Maharaja Rameshwar Singh Mithila College,
Maharaja Ranjit Singh College of Professional Sciences,
Maharaja Ranjit Singh College,
Maharaja Shuheldeo Mahila Mahavidyalaya,
Maharaja Srischandra College,
Maharaja Surajmal Institute of Technology,
Maharaja Surajmal Institute,
Maharaja Surajmal Teacher’s Training College,
Maharaja's College,
Maharaja's College,Mysore
Maharajah's College for Women,Vizianagaram
Maharajah's College,Vizianagaram
Maharajah’s Post Graduate College,Vizianagaram
Maharana Pratap College for Girls,
Maharana Pratap College of Education,Agra
Maharana Pratap College,
Maharana Pratap Degree College,
Maharana Pratap Government Degree College,
Maharana Pratap Government P.G. College,
Maharana Pratap Government PG College,
Maharana Pratap Govt. Degree College,
Maharana Pratap Govt. Post Graduate College,
Maharana Pratap Mahavidyalaya,
Maharana Pratap Mahavidyalaya,Faizabad
Maharana Pratap Mahila Mahavidyalaya,
Maharana Pratap Mahila Mahavidyalaya,,Kushinagar
Maharana Pratap National College,
Maharana Pratap Sikshan Prasikshan Sansthan Nagahra,
Maharana Pratapsinh Shikshan Sanstha’s Anandibai Raorane Arts, Commerce & Science College,Sindhudurg
Maharani Arts and Science Women’s College,Tirupur
Maharani Banaras Mahila Mahavidyalaya,
Maharani Gulab Kunwari Mahila Mahavidyalaya,Varanasi
Maharani Kalyani College,
Maharani Kasiswari College,
Maharani Kishori Jat Kanya College,
Maharani Lakshmi Ammanni College for Women,
Maharani Lal Kunwari Post Graduate College,Balrampur
Maharani Maheshwari Lata Sanskrit Vidyapeeth,
Maharani Women’s Arts Commerce and Management College,Bangalore
Maharani's Arts College for Women,Mysore
Maharani's Science College for Women,Bangalore
Maharani's Science College for women,Mysore
Maharani’s Women’s Commerce and Management College,Mysore
Maharashtra Academy of Engineering and Educational Research MIT Arts, Commerce and Science College.,Pune
Maharashtra Academy of Engineering and Educational Research’s Maharashtra Institute of Pharmacy,Pune
Maharashtra Arogya Mandal’s Sumatibhai Shah Ayurved Mahavidyalaya,Pune
Maharashtra Association for Cultivation of Science,
Maharashtra College of Arts and Science and Commerce,
Maharashtra Cosmopolitan Education Society’s H.G.M. Azam College of Education,Pune
Maharashtra Education Society’s Institute of Management and Career Courses (IMCC),Pune
Maharashtra Institute of Technology,Aurangabad
Maharashtra Mahavidyalaya,
Maharashtra Mandal's  Chandrasekhar Agashe College of Physical Education,Pune
Maharashtra Udayagiri Mahavidyalaya,
Maharishi College of Natural Law,
Maharishi Ved Vidyan Arts & Commerce College,
Maharishi Ved Vidyan Sanskrit Vidyapeeth College,
Maharishi Ved Vigyan Mahila Vidyapeeth,
Maharshi Arvind Mahavidyalaya,Alwar
Maharshi College of Education,Kaushambi
Maharshi Dayanand B.Ed College,
Maharshi Dayanand College of Arts, Science & Commerce,Mumbai
Maharshi Dayanand Degree College,Banda
Maharshi Dayanand Law College,
Maharshi Dayanand Mahavidyalaya,
Maharshi Dayanand Mahavidyalaya+3 & Higher Education,
Maharshi Gautam Buddh Mahila Mahavidyalaya,Banda
Maharshi Karve Stree Shikshan Samstha’s School of Fashion Technology,Pune
Maharshi Karve Stree Shikshan Samstha’s, Smt. Hiraben Nanavati Institute of Management & Research for Women,Pune
Maharshi Karve Stree Shikshan Sanstha’s Cummins College of Engineering for Women,Pune
Maharshi Karve Stree Shikshan Sanstha’s Dr. Bhanuben Nanavati College of Architecture for Women,Pune
Maharshi Karve Stree Shikshan Sanstha’s Shri Siddhivinayak Mahila Mahavidyalaya,Pune
Maharshi Karve Stree Shikshan Sanstha’s Smt. Bakul Tambat Institute of Nursing Education,Pune
Maharshi Moolchand Yadav Mahila Mahavidyalaya,
Maharshi Paramhansh College of Education,
Maharshi Shandilya Prashikshan Sansthan,,
Maharshi Shikshan Avam Prashikshan Sansthan,Ghazipur
Maharshi Valmiki College of Education,
Maharshi Yogiraj Deoraha Baba Mahavidyalaya,Ambedkar Nagar
Mahasamund Mahavidyalaya,
Mahatama Gandhi Institute of Medical Sciences,
Mahatama Phule Arts & Commerce and S.R.C. Science College,
Mahathi College of Pharmacy,
Mahatma  Education Society’s Mahatma Night Degree College of Arts and Commerce,
Mahatma Asau Baba K.K.P. Institute of Education,Azamgarh
Mahatma Buddh Mahavidyalaya,
Mahatma Buddha Lok Kalyan Avam Gramya Vikas Sansthan,Kheri
Mahatma Education Society’s Pillai College of Education & Research, Dr. Pillai Teachers Training & Research Centre,
Mahatma Education Society’s Pillai HOC College of Arts, Science & Commerce,
Mahatma Education Society’s Pillai HOC College of Engineering and Technology,raigad
Mahatma Education Society’s Pillai Institute of Management Studies & Research,new panvel
Mahatma Education Society's Pillai's College of Arts, Commerce & Science,
Mahatma Education Society’s Pillai’s College of Education and Research,
Mahatma Education Society’s, Pillai College of Engineering,Mumbai
Mahatma Gandhi Arts and Commerce College,
Mahatma Gandhi Arts, Science and Late Nasaruddhinbha Panjwani Commerce College,
Mahatma Gandhi Centenary Arts, Commerce & GHD Science College,
Mahatma Gandhi College,
Mahatma Gandhi College,Bongaigaon
Mahatma Gandhi Degree College,
Mahatma Gandhi Evening College,
Mahatma Gandhi Government Arts College,
Mahatma Gandhi Institute of Technology,
Mahatma Gandhi Mahavidyalaya,
Mahatma Gandhi Memorial College,
Mahatma Gandhi Mission’s Dental College,
Mahatma Gandhi mission's Jawaharlala Nehru Engineering  College,
Mahatma Gandhi Missions College of Engineering and Technology,
Mahatma Gandhi National Institute of Research & Social Action,
Mahatma Gandhi National Institute of Research and Social Action,(MGNIRSA),
Mahatma Gandhi P.G. College,Sikar
Mahatma Gandhi PG College,
Mahatma Gandhi Post Graduate Institute of Dental Sciences,
Mahatma Gandhi Prashashkiya Seva Mahavidyalaya,
Mahatma Gandhi Sati Smarak Degree College,
Mahatma Gandhi Shikshan Mandal’s (M.G.S.M’s) Arts, Science and Commerce College,
Mahatma Gandhi Shikshan Mandal’s Smt. Sharadchandrika Suresh Patil College of Pharmacy,Jalgaon
Mahatma Gandhi Smarak Mahavidyalaya,
Mahatma Gandhi Vidayamandir's Arts and  Commerce College,
Mahatma Gandhi Vidyamandir's Arts, Commerce & Science College,Nashik
Mahatma Gandhi Vidyamandir’s Arts, Science & Commerce College,
Mahatma Gandhi Vidyamandir’s Arts, Science and  Commerce College,
Mahatma Gandhi Vidyamandir’s Arts, Science and Commerce College,
Mahatma Gandhi Vidyamandir’s Karmaveer Bhausaheb Hiray Arts, Science & Commerce College,Nashik
Mahatma Gandhi Vidyamandir’s Samajshree Prashantdada Hiray College of Hotel Management & Catering Technology,Nashik
Mahatma Gandhi Vidyamandir’s, Institute of Management And Research,
Mahatma Gandhi Vidyamandir’s, Pharmacy College,
Mahatma Jyothiba Phule Arts Degree College,Gulbarga
Mahatma Jyothiba Phule Telangana Backward Classes Welfare Residential Degree College for Women. Jagadevpur at Wargal, Siddipet Dist. 502 279, Telangana.,
Mahatma Jyotiba Fule Arts & Commerce Mahavidyalaya,
Mahatma Jyotiba Fule Mahavidyalaya,
Mahatma Jyotiba Phule Mahavidyalaya,
Mahatma Jyotibha Fule Mahavidyalaya,
Mahatma Malviya Degree College,
Mahatma Phule Arts & Commerce Science College,Pune
Mahatma Phule Arts, Science and Commerce College,
Mahatma Phule Mahavidyalaya,Latur
Mahatma Phule Nutan Mahavidyalaya,
Mahatma Ratan Guljar Mahavidyalaya,
Mahaveer Institute of Science & Technology,Hyderabad
Mahaveer Prasad Mahavidyalaya,
Mahaveer Prasad Mayawati Mahavidyalaya,Hardoi
Mahaveer Prasad Smarak  Mahila Mahavidyalaya,Ambedkar Nagar
Mahavidyalaya Akarawan,
Mahavidyalaya Bansdih,
Mahavidyalaya Derwa,
Mahavidyalaya,
Mahavir Institute of Technology,
Mahavir Kailash Mahavidyalaya,
Mahavir Mahavidyalaya,
Mahayogi Guru Gorakhnath Govt.Degree College,
Mahboobia Panjetan Degree College,
Mahendra Arts & Science College,
Mahendra College of Engineering,Salem
Mahendra Engineering College for Women,Namakkal
Mahendra Engineering College,Namakkal
Mahendra Institute of Engineering and Technology,
Mahendra Institute of Technology,Namakkal
Mahendra Kumar Saboo College of Commerce,
Mahendra Singh Surendra Singh Dayashankar Memorial Mahavidyalaya,Jalaun
Mahesh Baghel Ji Keshkal Dandkaranya Government College,Kondagaon
Mahesh Dubey Apurwa Mahavidyalaya,Farrukhabad
Mahesh Singh Yadav College,
Maheshtala College,
Maheshwaram College of Education & Law Management,Bulandshahr
Mahila Arts & Commerce College,
