Name of the college,District,State
New Horizon College of Engineering,Bangalore,Karnataka
New Horizon Institute of Technology and Management,Thane,Maharashtra
New Law College,Pune,Maharashtra
New Law College,,Maharashtra
New Law College,,Maharashtra
New Look Girls P.G. College,Banswara,Rajasthan
New Prince Shri Bhavani Arts and Science College,Chennai,Tamil Nadu
New Prince Shri Bhavani College of Engineering and Technology,Chennai,Tamil Nadu
New Rajasthan Balika P.G. Mahavidyalaya,,Rajasthan
New Science College,,Telangana
Newman College,,Kerala
Newton’s Institute of Engineering,Guntur,Andhra Pradesh
Ng. Mani College,,Manipur
Niali College,,Odisha
Nichnametla Subbamma Pattabhi Ramaiah Government Degree College for Women,Anantapur,Andhra Pradesh
NIE First Grade College,,Karnataka
NIFT-TEA College of Knitwear Fashion,Tiruppur,Tamil Nadu
Nigam Institute of Engineering and Technology,Cuttack,Odisha
Night College of Arts and Commerce,,Maharashtra
Night College of Arts and Commerce,,Maharashtra
Night Ingale College of Nursing,,Uttar Pradesh
Nihal Shyam College of Management Science and Technology,Bareilly,Uttar Pradesh
NIIS Institute of Business Administration,,Odisha
Nijampur - Jaitane Shikshan Prasarak Mandal’s Adarsh College of Arts,,Maharashtra
Nikalas Mahila Mahavidyalaya,,Maharashtra
Nikhil Banga Shikshan Mahavidyalay,,West Bengal
Nilakantheswar Degree Mahavidyalaya,,Odisha
Nilamadhab Mahavidyalaya,,Odisha
Nilamani Mahavidyalaya,,Odisha
Nilambazar College,Karimganj,Assam
Nilgiri College,,Odisha
Nilgiri College of Arts & Science,The Nilgiris,Tamil Nadu
Nilgiri Women’s Degree College,,Odisha
Nilkantharao Shinde Science & Arts College,,Maharashtra
Nilratan Circar Medical College,,West Bengal
Nima Girls Arts College,,Gujarat
Nimapara College,,Odisha
Nimbark Teacher Training Mahavidyalaya,,Rajasthan
Nimra College of Engineering & Technology,,Andhra Pradesh
Nimra College of Pharmacy,Krishna,Andhra Pradesh
Niranjan Government Women’s College,Ganjam,Odisha
Niranjan Mahavidyalaya,Ghazipur,Uttar Pradesh
Niranjan Singh Mahavidyalaya,Unnao,Uttar Pradesh
Nirma College of Pharmacy,Krishna,Andhra Pradesh
Nirmal Haloi College,Barpeta,Assam
Nirmal Krida & Samaj Prabadhan Turst's Arts Science & Commerce,,Maharashtra
Nirmal Mahavidyalaya,Karauli,Rajasthan
Nirmala College,,Kerala
Nirmala College,,Jharkhand
Nirmala College,Ujjain,Madhya Pradesh
Nirmala College for Women,Coimbatore,Tamil Nadu
Nirmala College of Commerce,Mumbai,Maharashtra
Nirmala College of Pharmacy,Guntur,Andhra Pradesh
Nirmala College of Pharmacy,,Andhra Pradesh
Nirmala Institute of Education,,Goa
Nirmala Institute of Education & Technology,,Uttar Pradesh
Nirmala Memorial Foundation College of Commerce & Science,Mumbai,Maharashtra
Nirmala Memorial Foundation College of Education D.S. Road Asha Nagar,,Maharashtra
Nirmalagiri College,,Kerala
Nirsu Narain Mahavidyalaya,Vaishali,Bihar
Nishitha Degree College,Nizamabad,Telangana
Nishtha Chaudhary Mahavidhyalay,,Uttar Pradesh
Nistarini College,,West Bengal
Niteshwar Mahavidyalaya,Muzaffarpur,Bihar
Nitishwar Ayurved Medical College and Hospital,Muzaffarpur,Bihar
Nitte Mahalinga Adyanthaya Memorial Institute of Technology,,Karnataka
Nitte Meenakshi Institute of Technology,,Karnataka
Nivedita Singh Girls Degree College,,Uttar Pradesh
Nizam College,,Telangana
NKBR College of Professional Studies,,Uttar Pradesh
Noble College,,Madhya Pradesh
Noble College,Krishna,Andhra Pradesh
Noble Women’s College,,Kerala
Noida College of Physical Education,,Uttar Pradesh
Noida Institute of Engineering & Technology,,Uttar Pradesh
Nongstoin College,,Meghalaya
Nongtalang College,,Meghalaya
Nonoi College,Nagaon,Assam
Noorul Islam College of Arts & Science,,Tamil Nadu
Noorul Islam College of Engineering,Kanyakumari,Tamil Nadu
Nootan Bharati Gram Seva Mahavidyalaya,,Gujarat
North Bank College,Lakhimpur,Assam
North Bengal Medical College,,West Bengal
North Bengal St. Xavier’s College,Jalpaiguri,West Bengal
North Bengal University College,,West Bengal
North East Institute of Social Science & Research,,Nagaland
North Gauhati College,Kamrup,Assam
North India College of Higher Education,Bijnor,Uttar Pradesh
North Kamrup College,Barpeta,Assam
North Lakhimpur College,Lakhimpur,Assam
Nowaraoam Arts & Science College for Women,Erode,Tamil Nadu
Nowboicha College,Lakhimpur,Assam
Nowgong College,Nagaon,Assam
Nowgong Girls' College,Nagaon,Assam
Nowrangapur College,,Odisha
Nowrosjee Wadia College,Pune,Maharashtra
NPR Arts & Science College,Dindigul,Tamil Nadu
NRI College of Pharmacy,Krishna,Andhra Pradesh
NRI Institute of  Information Science & Technology,Bhopal,Madhya Pradesh
NRI Institute of Pharmaceutical  Science,Bhopal,Madhya Pradesh
NRI Institute of Pharmacy,Bhopal,Madhya Pradesh
NRI Institute of Research and Technology,Bhopal,Madhya Pradesh
NRI Institute of Technology,Krishna,Andhra Pradesh
NRI Institute of Technology,Guntur,Andhra Pradesh
Nrupatugna Arts & Commerce College,,Karnataka
NSHM College of Management & Technology,,West Bengal
NSHM College of Management & Technology,,West Bengal
NSHM Knowledge Campus,,West Bengal
NSHM Knowledge Campus Kolkata - Group of Institutions,Kolkata,West Bengal
NTSS'S Shri Shankar Arts & Commerce College,,Karnataka
NTVS'S College of Education,,Maharashtra
Nursing College,,Rajasthan
Nusrathul Islam Arabic College,,Kerala
Nutab Adarsh Arts & Commerce & Smt. Maniben Hiralal Yadag College of Science,,Maharashtra
Nutan Maharashtra Vidya Prasarak Mandal’s Nutan Maharashtra Institute of Engineering and Technology,Pune,Maharashtra
Nutan Mahavidyalaya,,Maharashtra
Nutan Vidyalaya Arts S.K.M. Science & Dr. P.P. Commerce college,,Karnataka
Nuvapada Sri Balaji Mahavidyalaya,,Odisha
Nyaymurti Raja Chandra Shekhar Prasad Singh Degree College,Allahabad,Uttar Pradesh
Odapada Panchayat Samit Mahavidyalaya,,Odisha
Ojaswani College of Education,Damoh,Madhya Pradesh
Ojaswini Institute Par Excellence,,Madhya Pradesh
Olaver College,,Odisha
Om Budheshwar Nath R.S.V.S. Mahavidyalaya,,Uttar Pradesh
Om Degree College,,Uttar Pradesh
Om Ghushmeshwar Nath Mahavidyalaya,Pratapgarh,Uttar Pradesh
Om Harihar Mahavidyalaya,Hamirpur,Uttar Pradesh
Om Jee Mahavidyalaya,Ghazipur,Uttar Pradesh
Om Jee Women College of Education,Ghazipur,Uttar Pradesh
Om Mahavidyalaya,,Uttar Pradesh
Om Muruga College of Arts and Science,Salem,Tamil Nadu
Om Prakash Mishra Smarak Mahavidyalaya,Azamgarh,Uttar Pradesh
Om Shiv Public Mahavidyalaya,,Uttar Pradesh
Om Uchh Shiksha Sansthan,,Uttar Pradesh
Om Vidyalankar Shikshan Sanstha's Asmita College of Arts and Comm. For Women,,Maharashtra
Omega College of Pharmacy,,Telangana
Omega Institute of Science and Technology,Hyderabad,Telangana
Omega PG College (MCA),,Telangana
Omkarananda Saraswati Government Degree College,,Uttarakhand
Ompal Munshi Singh Mahavidhyalaya,Aligarh,Uttar Pradesh
Omprakash Mahavidhyalaya,,Uttar Pradesh
Onda Thana Mahavidyalaya,Bankura,West Bengal
Onkar Nath Tripathi Law College,Jaunpur,Uttar Pradesh
Onkarmal Somani College of Commerce,,Rajasthan
Orange City College of Social Work,,Maharashtra
Oriental College,,Manipur
Oriental College,Patna,Bihar
Oriental College,,Nagaland
Orissa Engineering College,,Odisha
Orissa Medical College of Homeopathy & Res.,,Odisha
Osmania College,Kurnool,Andhra Pradesh
Osmania Medical College,Hyderabad,Andhra Pradesh
Osmania University College for Women,Hyderabad,Telangana
Oupada College,,Odisha
Oxford Engineering College,,Tamil Nadu
P R Govt. College (Autonomous),Kakinada,Andhra Pradesh
P V R Trust Degree College,Kakinada,Andhra Pradesh
P. Rami Reddy Memorial College of Pharmacy,,Andhra Pradesh
P. Science College,,Bihar
P.A. College of Engineering and Technology,Coimbatore,Tamil Nadu
P.B. Sidhartha College of Arts & Science,Krishna,Andhra Pradesh
P.B.N. College,Guntur,Andhra Pradesh
P.B.R. Agriculture Degree College,Hardoi,Uttar Pradesh
P.B.S. College,,Bihar
P.C. Jabin Science College,,Karnataka
P.C. Vigyan Mahavidyalaya,,Bihar
P.C.M.S.D. College For Women,,Punjab
P.D. Karkhanis College of Arts & Commerce,,Maharashtra
P.D. Mahila Degree College,,Uttar Pradesh
P.D. Memorial College of Engineering,,Haryana
P.D. Pandey Rapati Mahavidyalaya,Faizabad,Uttar Pradesh
P.D. Pandya Mahila Commerce College,,Gujarat
P.D.M. College of Commerce,,Gujarat
P.D.M. Graduate Teachers College,,Gujarat
P.E.S. College of Engg.,,Karnataka
P.E.S. College of Physical Education,,Maharashtra
P.E.S. College of Science,,Karnataka
P.E.S. Evening College,,Karnataka
P.E.S. Institute of Advanced Management Studies,,Karnataka
P.E.S. Law College,,Karnataka
P.E.S. Modern College of Arts Science and Commerce,Pune,Maharashtra
P.G. College,,Telangana
P.G. College,,Telangana
P.G. College,,Telangana
P.G. College,,Telangana
P.G. College,,Telangana
P.G. College,,Telangana
P.G. College,,Telangana
P.G. College,Saharanpur,Uttarakhand
P.G. College of Law,,Telangana
P.G. College Osmania University,,Telangana
P.G. Institute of Medical Sciences,Paschim Medinipur,West Bengal
P.G. Vigyan Mahavidyalaya,,Madhya Pradesh
P.G.D.A.V. College,,Delhi
P.G.D.A.V. College (Evening Classes),,Delhi
P.G.D.C.A. Technical College,,Gujarat
P.K. Das Institute of Medical Sciences,Palakkad,Kerala
P.K. Mahavidyalaya,Kushinagar,Uttar Pradesh
P.K. Roy Memorial College,,Jharkhand
P.K.M. College of Education,,Kerala
P.K.N. Arts and Science College,,Tamil Nadu
P.K.R. Arts College for Women,Gobichettipalayam,Tamil Nadu
P.L. Singh College,Patna,Bihar
P.L.N. First Grade College,Mandya,Karnataka
P.M. College of Education,Aligarh,Uttar Pradesh
P.M. College of Engineering,Sonipat,Haryana
P.M. Govt. College,,Kerala
P.M.B. Gujarati Arts and law College,,Madhya Pradesh
P.M.B. Gujarati Commerce College,,Madhya Pradesh
P.M.B. Gujarati Science College,,Madhya Pradesh
P.M.S. College,,Bihar
P.N. College,,Bihar
P.N. Das College,,West Bengal
P.N. Sanskrit Mahavidyalaya,,Bihar
P.N. Sarode College of Arts Commerce & Home Science,Wardha,Maharashtra
P.N.C. & K.R. Degree College,Guntur,Andhra Pradesh
P.N.G. Govt. P.G. College,,Uttarakhand
P.P. College of Education,,Maharashtra
P.P.K. College,,Jharkhand
P.R. Engineering College,Thanjavur,Tamil Nadu
P.R. Pote (Patil) Education & Welfare Trust Group of Institutions College of Engineering & Management,Amravati,Maharashtra
P.R. Rajkiya Mahila Mahavidyalaya,,Uttar Pradesh
P.R. Thakur Government College,North Twenty Four Parganas,West Bengal
P.R.R. & V.S. Govt. College,Sri Potti Sriramulu Nellore,Andhra Pradesh
P.S. College,,Odisha
P.S. Degree College,,Odisha
P.S.C. & K.V.S.C. Govt. College,Kurnool,Andhra Pradesh
P.S.G. College of Arts & Science,Coimbatore,Tamil Nadu
P.S.G. College of Technology,Coimbatore,Tamil Nadu
P.S.G.R. Krishnammal College for Women,Coimbatore,Tamil Nadu
P.S.R. Engineering College,Virudhunagar,Tamil Nadu
P.S.V. College of Engineering & Technology,Krishnagiri,Tamil Nadu
P.S.Y  Arts and Science College,,Tamil Nadu
P.T. Sarvajanik College of Science,,Gujarat
P.V.A. Ekka M. College,,Jharkhand
P.V.D.T. College of Education for Women,Mumbai,Maharashtra
P.V.K.K. Institute of Technology,,Andhra Pradesh
P.V.K.N. Govt. College,Chittoor,Andhra Pradesh
P.W.S. Arts & Commerce College,,Maharashtra
Paavai Engineering College,Namakkal,Tamil Nadu
PACE Institute of Technology & Sciences,Prakasam,Andhra Pradesh
Pachaiyappa's College for Men,,Tamil Nadu
Pachhunga University College,,Mizoram
Pachiyappa's College,,Tamil Nadu
Pacific College of Physiotherapy,,Uttar Pradesh
Padamashree Dr. D.Y. Patil Institute of Pharmaceutical Sciences and Research,Pune,Maharashtra
Padmabhusan Vasantrao Dada Patil Mahavidyalaya,,Maharashtra
Padmabhushan Dr. Vsantraodada Pail Mahavidyalaya,,Maharashtra
Padmabhushan Vasantraodaa Patil Institute of Technology,,Maharashtra
Padmaja Naidu College of music,,West Bengal
Padmanath Gohain Baruah Govt. Model College,,Assam
Padmapani College of Physical Education,,Maharashtra
Padmaphushan Vasant Dada Patil College,,Maharashtra
Padmashree Dr. D.Y. Patil Institute of Engineering & Technology,Pune,Maharashtra
Padmashree Institute of Management & Sciences,Bangalore,Karnataka
Padmashri Dr. Vithalrao Vikhe Patil Foundation’s College of Pharmacy,,Maharashtra
Padmashri Dr. Vithalrao Vikhe Patil Foundation’s College of Physiotherapy,,Maharashtra
Padmashri Dr. Vithalrao Vikhe Patil Foundation’s Institute of Business Management & Rural Development,,Maharashtra
Padmashri Dr. Vithalrao Vikhe Patil Foundation’s Padmashri Dr. Vithalrao Vikhe Patil College of Engineering,,Maharashtra
Padmashri Vikhe Patil College of Arts Science & Commerce,,Maharashtra
Padmasri Dr. B.V. Raju Institute of Technology,,Telangana
Padmavani Arts and Science College for Women,Salem,Tamil Nadu
Padmavati Mahila Mahavidyalaya,,Uttar Pradesh
Padmshri Dr. V.B. Kolte College of Engineering,,Maharashtra
Padua College of Commerce & Management,Dakshina Kannada,Karnataka
Pahalwan Gurudeen Mahila Mahavidyalaya,,Uttar Pradesh
Pahalwan Gurudeen Prasikshan Mahavidyalaya,Lalitpur,Uttar Pradesh
Pailan College of Education,South Twenty Four Parganas,West Bengal
Pakuahat Degree College,,West Bengal
Pakur B.Ed. College,,Jharkhand
Paliwal Degree College,,Uttar Pradesh
Pallagatti Adavappa College of Arts and Commerce,,Karnataka
Pallavan College of Engineering,Thimmasamudram,Tamil Nadu
Pallavi Engineering College,,Telangana
Panampilly Memorial Govt. College,,Kerala
Panchakot Mahavidyalaya,,West Bengal
Panchayat College,,Odisha
Panchayat College,,Odisha
Panchayat College,,Odisha
Panchayat Degree College,,Odisha
Panchayat Degree College,Deoghar,Odisha
Panchayat Samiti College,,Odisha
Panchayat Samiti College,,Odisha
Panchayat Samiti College,,Odisha
Panchayat Samiti College,,Odisha
Panchayat Samiti College,,Odisha
Panchayat Samiti Degree College,,Odisha
Panchayat Samiti Degree College,,Odisha
Panchayat Samiti Degree College,Balangir,Odisha
Panchayat Samiti Degree College,Bargarh,Odisha
Panchayat Samiti Mahavidyalaya,Balangir,Odisha
Panchla Mahavidyalaya,,West Bengal
Panchmura Mahavidyalaya,,West Bengal
Panchpir +3 Women’s College,,Odisha
Panchsheel Mahavidyalaya,,Uttar Pradesh
Panchshil Degree College,Mirzapur,Uttar Pradesh
Panchthupi Haripada – Gouribala College,,West Bengal
Panchu Ram Yadav Mahavidyalaya,Jaunpur,Uttar Pradesh
Pandaveswar College,,West Bengal
Pandit Awadh Bihari Rajpati Mahavidyalaya,Pratapgarh,Uttar Pradesh
Pandit Bhagwat Dayal Sharma P.G. Institute of Medical Sciences,,Haryana
Pandit Chetan Dev Government College of Education,,Punjab
Pandit Deen Dayal Upadhyay Institute of  Agricultural Sciences,Bishnupur,Manipur
Pandit Deen Dayal Upadhyay Rajkiya Mahavidyalaya,,Uttar Pradesh
Pandit Deen Dayal Upadhyaya Govt. Degree College,,Uttar Pradesh
Pandit Deendayal Upadhaya Mahavidyalaya,,Maharashtra
Pandit Deendayal Upadhyaya Adarsha Mahavidyalaya,Bongaigaon,Assam
Pandit Dwarikadas Vigyan Mahavidyalaya,Betul,Madhya Pradesh
Pandit J.L. Nehru Mahavidyalaya,,Maharashtra
Pandit jawahar Lal Nehru Memorial College,,Karnataka
Pandit Jawaharlal Nehru College of Agriculture and Research Institute,Karaikal,Puducherry
Pandit Mohan Lal S.D. College for Girls,,Punjab
Pandit Motilal Nehru Law College,,Madhya Pradesh
Pandit Nehru Memorial College,Dhanbad,Jharkhand
Pandit Neki Ram Sharma Government College,,Haryana
Pandit Panchaxara Gavaigalavar Arts College,,Karnataka
Pandit Raghunath Murmu Smritis Mahavidyalya,,West Bengal
Pandit Ram Kedar Ram Kishor Tripathi Mahavidyalaya,Sultanpur,Uttar Pradesh
Pandit Ramshankar Banni Lal Pathak Shaskiya Mahavidyalaya,Jabalpur,Madhya Pradesh
Pandit Ramswaroop Upadhyay Mahavidyalaya.,Banda,Uttar Pradesh
Pandit Sant Ram Government Degree College,Kangra,Himachal Pradesh
Pandit Shambhu Nath Shukla Govt. P.G. College,Shahdol,Madhya Pradesh
Pandit Sivram Rajkiya Mahavidyalaya,Dehradun,Uttarakhand
Pandit Sukhraj Raghunathi Institute of Education and Technology,,Uttar Pradesh
Pandit Ugam Pandey College,,Uttar Pradesh
Pandit Ugam Pandey College,Champaran (East),Bihar
Pandit Uma Shankar Tiwari Mahila Mahavidyalaya,West Champaran,Bihar
Pandu College,Kamrup,Assam
Pandurang Shamrao Mulgaonkar Vishesh Shikshan Adhyapak Mahavidyalaya,Pune,Maharashtra
Panigaon Omprakash Dinodia College,Lakhimpur,Assam
Panihati Mahavidyalaya,,West Bengal
Panimalar Engineering College,,Tamil Nadu
Panimalar Institute of Technology,Chennai,Tamil Nadu
Panipat Institute of Engineering & Technology,Panipat,Haryana
Panipat Institute of Engineering & Technology,Panipat,Haryana
Panjab University Evening College,,Chandigarh
Pankaj Kala Mahavidyalaya,,Maharashtra
Pankaj Maheshwari Smriti Mahavidyalaya Nandgram,,Uttar Pradesh
Panna Mahavidyalaya,,Uttar Pradesh
Panskura Banamali College,Purba Medinipur,West Bengal
Paradip College,,Odisha
Parag Dei Mahila Mahavidyalaya,Sultanpur,Uttar Pradesh
Parajang Mahavidyalaya,,Odisha
Parala Maharaja Engineering College,,Odisha
Param Hansa Degree College,,Uttar Pradesh
Paramananda College,,Odisha
Paramhans Pal Mahavidyalaya,,Uttar Pradesh
Paramount Teachers Training College,Muzaffarpur,Bihar
Paras Nath Janardan Girls Degree College,Ghazipur,Uttar Pradesh
Paras Nath Mahavidyalaya,Kushinagar,Uttar Pradesh
Parasanath Mahavidyalaya,Sultanpur,Uttar Pradesh
Parashuram Verma Smarak Mahila Mahavidyalaya,,Uttar Pradesh
Parasnath Kushwaha College,,Bihar
Parasnath Mahavidyalaya,Giridih,Jharkhand
Parasnath Shikshan Prashikshan Mahavidyalay,,Uttar Pradesh
Parekh Brothers Science College,,Gujarat
Parimal Mitra Smriti Mahavidyalaya,,West Bengal
Parishkar College of Global Excellence,Jaipur,Rajasthan
Parisutham Institute of Technology and Science,Thanjavur,Tamil Nadu
Paritala Sriramulu  Govt. College,Anantapur,Andhra Pradesh
Park College of Engineering & Technology,Coimbatore,Tamil Nadu
Park's College,Coimbatore,Tamil Nadu
Parle Tilak Vidyalaya Association's Sathaye College,,Maharashtra
Parmeshwar Singh Memorial Mahavidyalaya,,Uttar Pradesh
Parmeshwari Veena Sanskrit College,,Bihar
Parmeswar Mahavidyalaya,,Uttar Pradesh
Parsandi Devi College of Law,Gautam Buddha Nagar,Uttar Pradesh
Parsandi Devi College of Management & Technology,,Uttar Pradesh
Parshuram Mahavidyalaya,Jhansi,Uttar Pradesh
Parth Vidya Prasarak Mandal's Babuji Avhad Mahavidyalaya,,Maharashtra
Parvathareddy Babul Reddy Visvodaya Institute of Technology & Science,Sri Potti Sriramulu Nellore,Andhra Pradesh
Parvathy’s Arts and Science College,Dindigul,Tamil Nadu
Parvati Devi Mahavidyalaya,Bijnor,Uttar Pradesh
Parvati Mahila Mahavidyalaya.,Sultanpur,Uttar Pradesh
Parvati Mahila P.G. College,,Uttar Pradesh
Parvatibai Chowgule College of Arts and Science,,Goa
Parwati Laxmi Mahila Mahavidyalaya,,Bihar
Parwati Mahavidyalay,,Uttar Pradesh
Paschim Barigog Anchalik Mahavidyalaya,Kamrup,Assam
Paschim Dhemaji College,Dhemaji,Assam
Paschim Guwahati Mahavidyalaya,Kamrup,Assam
Pashupati Nath Smarak Mahavidyalaya,,Uttar Pradesh
Pasumpon Muthuramalinga Thevar College,,Tamil Nadu
Pasumpon Muthuramalinga Thevar College,,Tamil Nadu
Pasumpon Thiru Muthuramalinga Thevar Memorial College,Ramanathapuram,Tamil Nadu
Pataldhamal Wadhwani College of Pharmacy,Yavatmal,Maharashtra
Patamda Degree College,,Jharkhand
Patel College,,Bihar
Patel Degree College,,Uttar Pradesh
Patel J.B. Rudelwada Arts Patel A.M. Rudewala Commerce & Patel J.D.K. Dawalwala Science College,,Gujarat
Patel Memorial National College,,Punjab
Patel Panchayati Mahavidyalaya,,Uttar Pradesh
Patel Raman Brothers Arts & Patel Gopalbhai Ranchhodhi Commerce College,,Gujarat
Patel Shri Teekaram Mahavidyalaya,,Uttar Pradesh
Patel Vidyapeeth Mahavidyalaya,,Uttar Pradesh
Pathani Samanta College,,Odisha
Patharkandi College,Karimganj,Assam
Patidarrang College,Kamrup,Assam
Patitapaban Degree College,,Odisha
Patkai Christian College,,Nagaland
Patna College,Patna,Bihar
Patna Dental College & Hospital,Patna,Bihar
Patna Law College,Patna,Bihar
Patna P.W. Medical College,Patna,Bihar
Patna Science College,Patna,Bihar
Patna Training College,Patna,Bihar
Patna Women's College,Patna,Bihar
Patna Women's Training College,Patna,Bihar
Patpanhale Arts Commerce & Science College,,Maharashtra
Patrasayer Mahavidyalaya,,West Bengal
Patratu Thermal Power Station College,,Jharkhand
Patrician College of Arts and Science,Chennai,Tamil Nadu
Patronage Institute of Professional Studies,,Uttar Pradesh
Patsaku College,,Assam
Pattamundai College,,Odisha
Patuck Polytechnic Trust’s Patuck-Gala College of Commerce,Mumbai,Maharashtra
Pavai College of Technology,Namakkal,Tamil Nadu
Pavanatma College,,Kerala
Pavendar Bharathidasan College of Arts & Science,Pudukkottai,Tamil Nadu
Pavitra Degree College,,Uttar Pradesh
Payyannur College,,Kerala
Pazhassi Raja College,,Kerala
Pazhassi Raja N.S.S. College,,Kerala
Pd. Mahadev Shukla Krishak PG College,,Uttar Pradesh
Pedanandipadu College of Arts & Science,Guntur,Andhra Pradesh
Peet Memorial Training College,,Kerala
Peetamber Degree College,,Uttar Pradesh
Pemraj Sarda College,,Maharashtra
Pen Education Society’s Bhausaheb Nene Arts Science and Commerce College,,Maharashtra
Pendarani Mahavidyalaya,,Odisha
People's College,,Odisha
People's College,,Maharashtra
People's Education Society Sanchalit Sheth D.L. Law College,,Gujarat
People's Education Society Sanchalit Shri J.B. Thakkar Commerce College,,Gujarat
People’s College,Mokokchung,Nagaland
People’s Education Society & Trust’s Shaikh College of Education,,Karnataka
People’s Education Society’s P.E.S. College of Engineering,Aurangabad,Maharashtra
Peoples Co-operative Arts & Science College,,Kerala
Peoples Education Society's Ist Grade College,,Karnataka
Peopletree Education Society’s BBA BCA B.Com College,,Karnataka
Peren Government College,Peren,Nagaland
PERI Institute of Technology,Chennai,Tamil Nadu
Periyar Arts College,Cuddalore,Tamil Nadu
Periyar College of Pharmaceutical Science for Girls,,Tamil Nadu
Periyar E.V.R. College,,Tamil Nadu
Periyar Maniyammai College of Technology for Women,,Tamil Nadu
Periyar University Constituent College of Arts & Science,Dharmapuri,Tamil Nadu
Periyar University Constituent College of Arts and Science,Dharmapuri,Tamil Nadu
Periyar University Constituent College of Arts and Science,Salem,Tamil Nadu
Periyar University Constituent College of Arts and Science,Dharmapuri,Tamil Nadu
Permeshwar Prasad Mewalal Degree College,Pratapgarh,Uttar Pradesh
Perunthalaivar Kamarajar Arts College,,Puducherry
Peruulhalaivar Kamaraj College of Education,,Puducherry
PES Institute of Advanced Management Studies,,Karnataka
PES Institute of Technology,,Karnataka
PES Institute of Technology & Management,,Karnataka
PES Modern College of Pharmacy (for Ladies),Pune,Maharashtra
PES'S Karm A.M. Patil Arts Commerce and Kai Annasheb N.K. Patil Science Seniro College,,Maharashtra
Pettigrew College,,Manipur
Pfutsero Government College,,Nagaland
PGP College of Arts & Science,Namakkal,Tamil Nadu
Phek Government College,Phek,Nagaland
Phondaghat Education Society’s Arts and Commerce College,Sindhudurg,Maharashtra
Phool Chandra Singh Tulsi Devi Mahavidyalaya,Allahabad,Uttar Pradesh
Phool Singh Bisht Rajkiya Mahavidyalaya,Tehri Garhwal,Uttarakhand
Phoola Devi Mangaroo Singh Memorial Mahavidyalaya,Azamgarh,Uttar Pradesh
Phoola Devi Mishra Mahavidyalaya,,Uttar Pradesh
Phoolchand Gramin Mahila Mahavidyalaya,Azamgarh,Uttar Pradesh
Phul Devi Kusheshwar Jha College,,Bihar
Phule Samaj Sudhark Samitti’s Shahir Annabhau Sathe Mahavidyalaya,,Maharashtra
Phulsing Naik Mahavidyalaya,,Maharashtra
Pillai College of Architecture,Mumbai,Maharashtra
Piloo Mody College of Architecture ABIT group of Institutions,Cuttack,Odisha
Pimpalner Education Society's Karm. A.M. Patil Arts Commerce and Kai Annasaheb N.K. Patil Science Senior College,,Maharashtra
Pimpri Chinchwad Education Trust’s Pimpri Chinchwad College of Engineering,Pune,Maharashtra
Pimpri Chinchwad Education Trust’s Pimpri Chinchwad College of Engineering and Research,Pune,Maharashtra
Pimpri Chinchwad Education Trust’s S.B. Patil Institute of Management,Pune,Maharashtra
Pindi Mahavidyalaya,,Uttar Pradesh
Pindikesh Anchalika College (+3),,Odisha
Pingla Thana Mahavidyalaya,,West Bengal
Pingle Govt. College for Women,,Telangana
Pioneer College of Arts and Science,Coimbatore,Tamil Nadu
Pioneer Institute of Professional Studies,,Madhya Pradesh
Pioneer Kumaraswamy College,,Tamil Nadu
Pioneer Mahila Mahavidyalaya,Bara Banki,Uttar Pradesh
Pipar Teacher Training College,,Rajasthan
Pipli College,,Odisha
PIRENS - Institute of Business Management and Administration (IBMA),Ahmadnagar,Maharashtra
Pitambardev Goswami College,Jorhat,Assam
Pithapur Rajah's Govt. College,East Godavari,Andhra Pradesh
Pithubar Girls’ Degree College,Dibrugarh,Assam
Plassey College,Nadia,West Bengal
PMS College of Dental Science and Research,Thiruvananthapuram,Kerala
Pocker Sahib Memorial Orphanage College,,Kerala
Poddar International College,,Rajasthan
Polasara Science College,Ganjam,Odisha
Polasara Science College,Ganjam,Odisha
Polba Mahavidyalaya,,West Bengal
Pole Star College,,Manipur
Pollachi College of Arts and Science,Coimbatore,Tamil Nadu
Pompei College,,Karnataka
Ponda Education Society’s Ravi S. Naik College of Arts and Science,,Goa
Pondicherry Engineering College,,Puducherry
Ponjesly College of Engineering,,Tamil Nadu
Ponnaiyah Ramajayam College,,Tamil Nadu
Poojya Sane Guruji Vidya Prasarak Mandal’s College of Pharmacy,Nandurbar,Maharashtra
Poojya Sane Guruji Vidya Prasarak Mandal’s College of Pharmacy  Shahada  Dist. Nandurbar-425 409,,Maharashtra
Pookaya Thangal Memorial Govt. College,,Kerala
Poompuhar College,,Tamil Nadu
Poona College of Arts Science and Commerce,Pune,Maharashtra
Poona College of Pharmacy,Pune,Maharashtra
Poona District Education Association’s Seth Govind Raghunath Sable College of Pharmacy,Pune,Maharashtra
Poonamchand Gupta Vocational College,,Madhya Pradesh
Poonch College of Education,Jammu,Jammu and Kashmir
Pooran Gopal Shukla National College of Law,Mathura,Uttar Pradesh
Pooranmal Ramlal Degree College,,Uttar Pradesh
Poornaprajna Institute of Management Poornaprajna Campus,,Karnataka
Poornima College of Engineering,Jaipur,Rajasthan
Poornima Institute of Engineering & Technology,Jaipur,Rajasthan
Pope John Paul II College of Education,,Puducherry
Pope's College,,Tamil Nadu
Popular College of Education,Kashmir,Jammu and Kashmir
Post G. Training College for Physical Education,,West Bengal
Post Graduate Government College,,Chandigarh
Post Graduate Government College,,Chandigarh
Post Graduate Government College for Girls,,Chandigarh
